"LINETOOL.Title","Advanced Line Tool"
"LINETOOL.LineMode","Modalità linea"
"LINETOOL.Options","Opzioni"
"LINETOOL.FenceMode","Modalità staccionata"
"LINETOOL_DESCRIPTION.FenceMode","Allinea e posiziona automaticamente gli oggetti in modo continuativo end-to-end, come una recinzione."
"LINETOOL.W2WMode","Modalità Adiacenti (Wall-to-wall)"
"LINETOOL_DESCRIPTION.W2WMode","Allinea automaticamente e posiziona oggetti in modo continuo a fianco come una fila di edifici."
"LINETOOL.RandomizationEnabled","Casualità attivata"
"LINETOOL_DESCRIPTION.RandomizationEnabled","Abilita la variazione casuale degli oggetti."
"LINETOOL.ChangeRandom","Cambia il seed fisso casuale"
"LINETOOL_DESCRIPTION.ChangeRandom","Fare clic per modificare il seed fisso casuale utilizzato per generare le variazioni dell'oggetto."
"LINETOOL.PointMode","Singolo elemento"
"LINETOOL_DESCRIPTION.PointMode","Posiziona un oggetto alla volta usando lo strumento di gioco standard."
"LINETOOL.StraightLine","Linea retta"
"LINETOOL_DESCRIPTION.StraightLine","Posizionare gli oggetti lungo una linea retta dal punto A al punto B."
"LINETOOL.SimpleCurve","Curva semplice"
"LINETOOL_DESCRIPTION.SimpleCurve","Definire un inizio e una curva, quindi definire il punto finale."
"LINETOOL.Circle","Cerchio"
"LINETOOL_DESCRIPTION.Circle","Definire il centro del cerchio, quindi impostare il raggio."
"LINETOOL.Grid","Grid"
"LINETOOL_DESCRIPTION.Grid","Define the base of the grid, then the side."
"LINETOOL.LengthSnap","Snap to length"
"LINETOOL_DESCRIPTION.LengthSnap","Snap guideline length to an exact multiple of the current spacing setting."
"LINETOOL.FixedLength","Lunghezza fissa"
"LINETOOL_DESCRIPTION.FixedLength","Gli elementi di spazio lungo l'intera lunghezza della linea dall'inizio alla fine, usando la distanza di spaziatura impostata solo come approssimazione. Se questo NON è impostato, gli elementi saranno spaziati esattamente in base alla distanza impostata, anche se ciò significa che non possono essere posizionati lungo l'intera lunghezza della linea."
"LINETOOL.RelativeRotation","Rotazione relativa"
"LINETOOL_DESCRIPTION.RelativeRotation","Ogni elemento si affaccia nella direzione della linea (seguendo le curve)."
"LINETOOL.AbsoluteRotation","Rotazione assoluta"
"LINETOOL_DESCRIPTION.AbsoluteRotation","Ogni elemento si affaccia sulla stessa direzione (ignorando la direzione della linea)."
"LINETOOL.RandomRotation","Rotazione casuale"
"LINETOOL_DESCRIPTION.RandomRotation","Ruotare ogni elemento in modo casuale in modo che tutti si affaccino in direzioni diverse."
"LINETOOL.SpacingDown","Diminuisci spaziatura"
"LINETOOL.SpacingUp","Aumenta spaziatura"
"LINETOOL_DESCRIPTION.SpacingModifiers","Cambiare la dimensione del passo tenendo premuto il tasto Maiusc (passo di 10m) o il tasto di control (passo di 0.1m) quando si fa clic."
"LINETOOL.AntiClockwise","Ruota in senso antorario"
"LINETOOL.Clockwise","Ruota in senso orario"
"LINETOOL_DESCRIPTION.RotationModifiers","Cambiare la dimensione del passo tenendo premuto il tasto Maiusc (ruotare di 90°) o il tasto di control (ruotare di 1°) quando si fa clic."
"LINETOOL.RandomSpacingDown","Diminuisce la variazione casuale della spaziatura"
"LINETOOL.RandomSpacingUp","Aumenta la variazione casuale della spaziatura"
"LINETOOL.RandomOffsetDown","Diminuisce la variazione laterale casuale"
"LINETOOL.RandomOffsetUp","Aumenta la variazione laterale casuale"
"LINETOOL.Spacing","Spaziatura"
"LINETOOL_DESCRIPTION.Spacing","Gli oggetti saranno distanziati da questo valore (o approssimativamente questo valore se è selezionata una spaziatura di lunghezza fissa)."
"LINETOOL.Rotation","Rotazione"
"LINETOOL_DESCRIPTION.Rotation","Gli oggetti saranno ruotati di questo valore."
"LINETOOL.SpacingVariation","Variazione della spaziatura"
"LINETOOL_DESCRIPTION.SpacingVariation","La spaziatura degli oggetti lungo la linea sarà variata di una distanza casuale fino a questo massimo. Impostare a zero per un posizionamento preciso."
"LINETOOL.OffsetVariation","Variazione spostamento"
"LINETOOL_DESCRIPTION.OffsetVariation","Gli oggetti saranno spostati a caso lateralmente dalla linea fino a questa distanza massima. Impostare a zero per un posizionamento preciso."
"Options.SECTION:[algernon.LineTool]","Advanced Line Tool"
"Options.OPTION:GuidelineTransparency","Guideline transparency"
"Options.OPTION_DESCRIPTION:GuidelineTransparency","Sets the transparency of guidelines. 0 is fully opaque (maximum visibility), 100 is fully transparent (invisible)."
