"LINETOOL.Title","Advanced Line Tool"
"LINETOOL.LineMode","ラインモード"
"LINETOOL.Options","オプション"
"LINETOOL.FenceMode","フェンスモード"
"LINETOOL_DESCRIPTION.FenceMode","フェンスのように、オブジェクトの両端が連続的になるよう配置します。"
"LINETOOL.W2WMode","連接モード"
"LINETOOL_DESCRIPTION.W2WMode","長屋のように、オブジェクトの両側面が連続的になるよう配置します。"
"LINETOOL.RandomizationEnabled","ランダム化は有効です"
"LINETOOL_DESCRIPTION.RandomizationEnabled","オブジェクトのバリエーションをランダムにします。"
"LINETOOL.ChangeRandom","固定されたランダム化のシード値を変更"
"LINETOOL_DESCRIPTION.ChangeRandom","クリックするとオブジェクトのバリエーションを生成するための、固定されたランダム化のシードを変更します。"
"LINETOOL.PointMode","1つずつ"
"LINETOOL_DESCRIPTION.PointMode","標準のツールを使用してオブジェクトを1つずつ配置します。"
"LINETOOL.StraightLine","直線"
"LINETOOL_DESCRIPTION.StraightLine","オブジェクトをA点とB点の直線に沿って配置します。"
"LINETOOL.SimpleCurve","シンプルな曲線"
"LINETOOL_DESCRIPTION.SimpleCurve","始点と曲率を設定し、次に終点を設定します。"
"LINETOOL.Circle","円形"
"LINETOOL_DESCRIPTION.Circle","円の中心を設定し、次に半径を設定します。"
"LINETOOL.Grid","グリッド"
"LINETOOL_DESCRIPTION.Grid","Define the base of the grid, then the side."
"LINETOOL.LengthSnap","長さでスナップ"
"LINETOOL_DESCRIPTION.LengthSnap","ガイドラインの長さを現在の間隔設定の倍数にスナップします。"
"LINETOOL.FixedLength","固定長"
"LINETOOL_DESCRIPTION.FixedLength","Space items along the full length of the line from start to end, using the set spacing distance only as an approximation. If this is NOT set then items will be spaced exactly according to the set distance, even if it means they can't be placed along the full length of the line."
"LINETOOL.RelativeRotation","相対的な向き"
"LINETOOL_DESCRIPTION.RelativeRotation","各アイテムは線の方向を向きます (カーブに沿って)。"
"LINETOOL.AbsoluteRotation","絶対的な向き"
"LINETOOL_DESCRIPTION.AbsoluteRotation","各アイテムは同じ方向を向きます (線の方向は無視します)。"
"LINETOOL.RandomRotation","ランダムな向き"
"LINETOOL_DESCRIPTION.RandomRotation","各アイテムをランダムな方向に向かせ、すべてのアイテムの向きが異なるようにします。"
"LINETOOL.SpacingDown","間隔を狭める"
"LINETOOL.SpacingUp","間隔を広げる"
"LINETOOL_DESCRIPTION.SpacingModifiers","クリック時にShiftキー (10mごと)かCtrlキー (0.1mごと)を押すことで間隔を変更できます。"
"LINETOOL.AntiClockwise","反時計回りに回す"
"LINETOOL.Clockwise","時計回りに回す"
"LINETOOL_DESCRIPTION.RotationModifiers","Change the step size by holding down the shift key (rotate by 90°) or control key (rotate by 1°) when clicking."
"LINETOOL.RandomSpacingDown","Decrease random spacing variation"
"LINETOOL.RandomSpacingUp","Increase random spacing variation"
"LINETOOL.RandomOffsetDown","Decrease random sideways variation"
"LINETOOL.RandomOffsetUp","Increase random sideways variation"
"LINETOOL.Spacing","間隔"
"LINETOOL_DESCRIPTION.Spacing","Objects will be spaced apart by this amount (or approximately this amount if fixed length spacing is selected)."
"LINETOOL.Rotation","向き"
"LINETOOL_DESCRIPTION.Rotation","Objects will be rotated by this amount."
"LINETOOL.SpacingVariation","間隔のバリデーション"
"LINETOOL_DESCRIPTION.SpacingVariation","Object spacing along the line will be varied by a random distance up to this maximum. Set to zero for precise placement."
"LINETOOL.OffsetVariation","Offset variation"
"LINETOOL_DESCRIPTION.OffsetVariation","Objects will be randomly offset sideways from the line up to this maximum distance. Set to zero for precise placement."
"Options.SECTION:[algernon.LineTool]","Advanced Line Tool"
"Options.OPTION:GuidelineTransparency","Guideline transparency"
"Options.OPTION_DESCRIPTION:GuidelineTransparency","Sets the transparency of guidelines. 0 is fully opaque (maximum visibility), 100 is fully transparent (invisible)."
