"LINETOOL.Title","Line tool"
"LINETOOL.LineMode","Tryb linii"
"LINETOOL.Options","Opcje"
"LINETOOL.FenceMode","Tryb ogrodzenia"
"LINETOOL_DESCRIPTION.FenceMode","Automatycznie wyrównuj i rozmieszczaj obiekty w linii ciągłej – jak ogrodzenie."
"LINETOOL.W2WMode","Tryb bok w bok"
"LINETOOL_DESCRIPTION.W2WMode","Automatycznie wyrównuje i rozmieszcza obiekty bok w bok — jak rząd budynków."
"LINETOOL.RandomizationEnabled","Losowość włączona"
"LINETOOL_DESCRIPTION.RandomizationEnabled","Włącza losowe warianty obiektów."
"LINETOOL.ChangeRandom","Zmień stałe ziarno losowości"
"LINETOOL_DESCRIPTION.ChangeRandom","Kliknij, aby zmienić stałe ziarno losowości używane do generowania wariantów obiektów."
"LINETOOL.PointMode","Pojedynczy obiekt"
"LINETOOL_DESCRIPTION.PointMode","Umieszczaj obiekty pojedynczo przy użyciu standardowego narzędzia w grze."
"LINETOOL.StraightLine","Linia prosta"
"LINETOOL_DESCRIPTION.StraightLine","Umieszczaj obiekty wzdłuż linii prostej od punktu A do punktu B."
"LINETOOL.SimpleCurve","Jeden zakręt"
"LINETOOL_DESCRIPTION.SimpleCurve","Określ punkt początkowy i kąt, a następnie punkt końcowy."
"LINETOOL.Circle","Koło"
"LINETOOL_DESCRIPTION.Circle","Określ środek koła, a następnie jego promień."
"LINETOOL.FixedLength","Wybrana długość"
"LINETOOL_DESCRIPTION.FixedLength","Umieszczaj elementy w odstępach wzdłuż linii przy zachowaniu wybranej odległości między nimi jedynie w przybliżeniu. Gdy opcja jest wyłączona, elementy są rozmieszczane w wybranej odległości nawet wtedy, gdy umieszczenie ich wzdłuż całej linii nie jest możliwe."
"LINETOOL.RelativeRotation","Relative rotation"
"LINETOOL_DESCRIPTION.RelativeRotation","Each item faces in the direction of the line (following any curves)."
"LINETOOL.AbsoluteRotation","Absolute rotation"
"LINETOOL_DESCRIPTION.AbsoluteRotation","Each item faces the same direction (ignoring the line direction)."
"LINETOOL.RandomRotation","Losowy obrót"
"LINETOOL_DESCRIPTION.RandomRotation","Obracaj obiekty losowo, aby każdy był zwrócony w inną stronę."
"LINETOOL.SpacingDown","Zmniejsz odstęp"
"LINETOOL.SpacingUp","Zwiększ odstęp"
"LINETOOL_DESCRIPTION.SpacingModifiers","Zmień wielkość odstępu o 10 m (przytrzymując przy kliknięciu klawisz Shift) lub o 0,1 m (przytrzymując przy kliknięciu klawisz Control)."
"LINETOOL.AntiClockwise","Obróć w lewo"
"LINETOOL.Clockwise","Obróć w prawo"
"LINETOOL_DESCRIPTION.RotationModifiers","Zmień wartość obrotu o 90° (przytrzymując przy kliknięciu klawisz Shift) lub o 1° (przytrzymując przy kliknięciu klawisz Control)."
"LINETOOL.RandomSpacingDown","Zmniejsz wariancję losową odstępów"
"LINETOOL.RandomSpacingUp","Zwiększ wariancję losową odstępów"
"LINETOOL.RandomOffsetDown","Zmniejsz przesunięcie losowe w poziomie"
"LINETOOL.RandomOffsetUp","Zwiększ przesunięcie losowe w poziomie"
"LINETOOL.Spacing","Odstęp"
"LINETOOL_DESCRIPTION.Spacing","Rozmieszczaj obiekty w określonej odległości (lub w odległości przybliżonej, gdy korzystasz z funkcji równych odstępów)."
"LINETOOL.Rotation","Obrót"
"LINETOOL_DESCRIPTION.Rotation","Obiekty będą obracane o podaną wartość."
"LINETOOL.SpacingVariation","Wariancja odstępu"
"LINETOOL_DESCRIPTION.SpacingVariation","Określaj odstępy między obiektami wzdłuż linii losowo z zachowaniem tej wartości maksymalnej. Przy wartości zerowej obiekty umieszczane są precyzyjnie."
"LINETOOL.OffsetVariation","Wariancja odchylenia"
"LINETOOL_DESCRIPTION.OffsetVariation","Określaj odchylenie obiektów w poprzek linii losowo z zachowaniem tej wartości maksymalnej. Przy wartości zerowej obiekty umieszczane są precyzyjnie."
