"LINETOOL.Title","Advanced Line Tool"
"LINETOOL.LineMode","Oblik linije"
"LINETOOL.Options","Opcije"
"LINETOOL.FenceMode","Ograda"
"LINETOOL_DESCRIPTION.FenceMode","Automatski ređa i postavlja objekte neprekidno od kraja do kraja, poput ograde."
"LINETOOL.W2WMode","Zid do zida"
"LINETOOL_DESCRIPTION.W2WMode","Automatski ređa i postavlja objekte neprekidno jedan do drugog, kao niz zgrada."
"LINETOOL.RandomizationEnabled","Omogućena nasumičnost"
"LINETOOL_DESCRIPTION.RandomizationEnabled","Omogućava nasumično variranje objekata."
"LINETOOL.ChangeRandom","Promeni fiksno nasumično seme"
"LINETOOL_DESCRIPTION.ChangeRandom","Klikni da promeniš fiksno nasumično seme koje se koristi za generisanje varijacija objekata."
"LINETOOL.PointMode","Pojedinačni objekat"
"LINETOOL_DESCRIPTION.PointMode","Postavi jedan po jedan objekat koristeći standardni alat igrice."
"LINETOOL.StraightLine","Prava linija"
"LINETOOL_DESCRIPTION.StraightLine","Postavi objekte duž prave linije od tačke A do tačke B."
"LINETOOL.SimpleCurve","Prosta kriva"
"LINETOOL_DESCRIPTION.SimpleCurve","Odredi početak i savijanje, a zatim odredi krajnju tačku."
"LINETOOL.Circle","Kružnica"
"LINETOOL_DESCRIPTION.Circle","Odredi centar kružnice, zatim utvrdi poluprečnik."
"LINETOOL.Grid","Grid"
"LINETOOL_DESCRIPTION.Grid","Define the base of the grid, then the side."
"LINETOOL.LengthSnap","Snap to length"
"LINETOOL_DESCRIPTION.LengthSnap","Snap guideline length to an exact multiple of the current spacing setting."
"LINETOOL.FixedLength","Fiksirana dužina"
"LINETOOL_DESCRIPTION.FixedLength","Razmakni objekte duž cele dužine linije od početka do kraja, koristeći utvrđeno rastojanje samo kao aproksimaciju. Ako ovo NIJE podešeno, objekti će biti raspoređeni tačno u skladu sa postavljenom rastojanjem, čak i ako to znači da se ne mogu postaviti duž cele dužine linije."
"LINETOOL.RelativeRotation","Relativna rotacija"
"LINETOOL_DESCRIPTION.RelativeRotation","Svaki objekat je okrenut u pravcu linije (prateći bilo koju krivu)."
"LINETOOL.AbsoluteRotation","Apsolutna rotacija"
"LINETOOL_DESCRIPTION.AbsoluteRotation","Svaki objekat je okrenut u istom pravcu (zanemarujući pravac linije)."
"LINETOOL.RandomRotation","Nasumična rotacija"
"LINETOOL_DESCRIPTION.RandomRotation","Rotiraj svaki objekat nasumično tako da svi budu okrenuti u različitim pravcima."
"LINETOOL.SpacingDown","Smanji razmak"
"LINETOOL.SpacingUp","Povećaj razmak"
"LINETOOL_DESCRIPTION.SpacingModifiers","Promeni veličinu razmaka tako što ćeš držati pritisnut taster shift (za 10 m) ili kontrolni taster (za 0,1 m) kada kliknete."
"LINETOOL.AntiClockwise","Rotiraj u smeru suprotnom od kazaljke na satu"
"LINETOOL.Clockwise","Rotiraj u smеru krеtanja kazaljke na satu"
"LINETOOL_DESCRIPTION.RotationModifiers","Promeni intenzitet rotacije tako što ćeš držati pritisnut taster shift (rotacija od 90°) ili kontrolni taster (rotacija od 1°) kada kliknete."
"LINETOOL.RandomSpacingDown","Smanji nasumične varijacije razmaka"
"LINETOOL.RandomSpacingUp","Povećaj nasumične varijacije razmaka"
"LINETOOL.RandomOffsetDown","Smanji nasumične bočne varijacije"
"LINETOOL.RandomOffsetUp","Povećaj nasumične bočne varijacije"
"LINETOOL.Spacing","Razmakni"
"LINETOOL_DESCRIPTION.Spacing","Objekti će biti razmaknuti za ovaj iznos (ili otprilike za ovaj iznos ako je odabran razmak fiksirane dužine)."
"LINETOOL.Rotation","Rotiraj"
"LINETOOL_DESCRIPTION.Rotation","Objekti će biti rotirani za ovaj iznos."
"LINETOOL.SpacingVariation","Varijacija razmaka"
"LINETOOL_DESCRIPTION.SpacingVariation","Razmak objekata duž linije će varirati nasumičnim rastojanjem do ovog maksimuma. Stavi na nulu za precizno postavljanje."
"LINETOOL.OffsetVariation","Varijacija odstupanja"
"LINETOOL_DESCRIPTION.OffsetVariation","Objekti će nasumično odstupati od bočne linije do ovog maksimalnog rastojanja. Stavi na nulu za precizno postavljanje."
"Options.SECTION:[algernon.LineTool]","Advanced Line Tool"
"Options.OPTION:GuidelineTransparency","Guideline transparency"
"Options.OPTION_DESCRIPTION:GuidelineTransparency","Sets the transparency of guidelines. 0 is fully opaque (maximum visibility), 100 is fully transparent (invisible)."
