"LINETOOL.Title","Line Tool"
"LINETOOL.LineMode","摆放模式"
"LINETOOL.Options","设置"
"LINETOOL.FenceMode","栅栏模式"
"LINETOOL_DESCRIPTION.FenceMode","像栅栏一样，自动对齐和放置物体。"
"LINETOOL.W2WMode","Wall-to-wall mode"
"LINETOOL_DESCRIPTION.W2WMode","Automatically aligns and places objects continuously side-to-side, like a row of buildings."
"LINETOOL.PointMode","单个物体"
"LINETOOL_DESCRIPTION.PointMode","使用游戏默认工具，一次只摆放一个物体。"
"LINETOOL.StraightLine","直线"
"LINETOOL_DESCRIPTION.StraightLine","将物体沿着从 A 点到 B 点的直线放置。"
"LINETOOL.SimpleCurve","简单曲线"
"LINETOOL_DESCRIPTION.SimpleCurve","先设置起点和曲率，再设置终点。"
"LINETOOL.Circle","圆圈"
"LINETOOL_DESCRIPTION.Circle","先设置圆心，再设置半径。"
"LINETOOL.FixedLength","固定两端"
"LINETOOL_DESCRIPTION.FixedLength","选择此功能后，物品将以预设间距作为近似值，沿线均匀分布，并且起始与终点固定。
若不选择此功能，物品将按照设定的间距精确间隔放置，此时物品无法均匀分布，且终点不固定。"
"LINETOOL.RandomRotation","随机旋转"
"LINETOOL_DESCRIPTION.RandomRotation","随机旋转每个物品，使其分别有不同的朝向。"
"LINETOOL.SpacingDown","减少间距"
"LINETOOL.SpacingUp","增加间距"
"LINETOOL_DESCRIPTION.SpacingModifiers","调整参数时，按住 Shift 键 ×10，按住 Ctrl 键 ×0.1。"
"LINETOOL.AntiClockwise","逆时针旋转"
"LINETOOL.Clockwise","顺时针旋转90°"
"LINETOOL_DESCRIPTION.RotationModifiers","调整角度时，按住 Shift 键一次可调整90°，按住 Ctrl 键一次可调整1°。"
"LINETOOL.RandomSpacingDown","减少随机间距变化范围"
"LINETOOL.RandomSpacingUp","增加随机间距变化范围"
"LINETOOL.RandomOffsetDown","减少两侧偏移范围"
"LINETOOL.RandomOffsetUp","增加两侧偏移范围"
"LINETOOL.Spacing","间距"
"LINETOOL_DESCRIPTION.Spacing","物品将按照此间距间隔放置（如果选择了固定两端功能，那么间距会尽可能的接近您设置的数值）。"
"LINETOOL.Rotation","旋转"
"LINETOOL_DESCRIPTION.Rotation","物品将按照此角度旋转。"
"LINETOOL.SpacingVariation","间距变化范围"
"LINETOOL_DESCRIPTION.SpacingVariation","沿线物品的间距将按照此数值随机变化。设置为零以实现精确放置。"
"LINETOOL.OffsetVariation","偏移范围"
"LINETOOL_DESCRIPTION.OffsetVariation","物品将从直线向两侧随机偏移。设置为零以实现精确放置。"
